sentID,story,type,text,check,condition,group
1,,test,Вася вчера наконец решил последнюю оставшуюся ему задачу.,Вася не смог решить все задачи.,test1,A
2,,test,У нас было семеро детей и семь конвертов.,Мы выдали каждому ребёнку по конверту и всем хватило.,test2,A
1,,test,Вася вчера наконец решил последнюю оставшуюся ему задачу.,Вася не смог решить все задачи.,test3,B
2,,test,У нас было семеро детей и семь конвертов.,Мы выдали каждому ребёнку по конверту и всем хватило.,test4,B
1,,test,Вася вчера наконец решил последнюю оставшуюся ему задачу.,Вася не смог решить все задачи.,test5,C
2,,test,У нас было семеро детей и семь конвертов.,Мы выдали каждому ребёнку по конверту и всем хватило.,test6,C
1,,test,Вася вчера наконец решил последнюю оставшуюся ему задачу.,Вася не смог решить все задачи.,test7,D
2,,test,У нас было семеро детей и семь конвертов.,Мы выдали каждому ребёнку по конверту и всем хватило.,test8,D
11,1,cond,"Ребята ищут ключи от квартиры. Все порылись в карманах, осталось проверить рюкзаки.
Петя говорит:","Если мы потеряли ключи от квартиры, то придётся ночевать на даче.",norm_ind,A
12,1,cond,"Ребята ищут ключи от квартиры. Все порылись в карманах, осталось проверить рюкзаки.
Петя говорит:","Если бы мы потеряли ключи от квартиры, то пришлось бы ночевать на даче.",viol_subj,B
13,1,cond,"Ребята ищут ключи от квартиры. Проверили все карманы и рюкзаки, и нашли ключи у Люси в кошельке.
Петя говорит:","Если мы потеряли ключи от квартиры, то придётся ночевать на даче.",viol_ind,C
14,1,cond,"Ребята ищут ключи от квартиры. Проверили все карманы и рюкзаки, и нашли ключи у Люси в кошельке.
Петя говорит:","Если бы мы потеряли ключи от квартиры, то пришлось бы ночевать на даче.",norm_subj,
21,2,cond,Перед уходом на работу Света попросила Мишу достать курицу из морозилки. Вечером по дороге домой Света думает:,"Если он забыл разморозить курицу, я его заставлю идти в магазин за пельменями.",norm_ind,B
22,2,cond,Перед уходом на работу Света попросила Мишу достать курицу из морозилки. Вечером по дороге домой Света думает:,"Если бы он забыл разморозить курицу, я бы его заставила идти в магазин за пельменями.",viol_subj,A
23,2,cond,"Перед уходом на работу Света попросила Мишу достать курицу из морозилки. Вечером Света пришла домой и увидела размороженную курицу в тазике на кухне.
Света подумала:","Если он забыл разморозить курицу, я его заставлю идти в магазин за пельменями.",viol_ind,D
24,2,cond,"Перед уходом на работу Света попросила Мишу достать курицу из морозилки. Вечером Света пришла домой и увидела размороженную курицу в тазике на кухне.
Света подумала:","Если бы он забыл разморозить курицу, я бы его заставила идти в магазин за пельменями.",norm_subj,C
31,3,deber,,"Тебе следует сегодня помыть голову, но можешь и не мыть до завтра.",viol_ind,
32,3,deber,,"Тебе бы следовало сегодня помыть голову, но можешь и не мыть до завтра.",norm_subj,A
33,3,deber,,"Тебе следует сегодня помыть голову, с немытой нельзя идти.",norm_ind,B
34,3,deber,,"Тебе бы следовало сегодня помыть голову, с немытой нельзя идти.",viol_subj,C
41,4,deber,,"Вам следует убраться в квартире до прихода дежурной, но можете и не убираться.",viol_ind,A
42,4,deber,,"Вам бы следовало убраться в квартире до прихода дежурной, но можете и не убираться.",norm_subj,D
43,4,deber,,"Вам следует убраться в квартире до прихода дежурной - нельзя, чтобы она заметила грязь.",norm_ind,C
44,4,deber,,"Вам бы следовало убраться в квартире до прихода дежурной - нельзя, чтобы она заметила грязь.",viol_subj,B
51,5,wish,"Саша проиграла Жене в преферанс пачку мороженого. Дело было поздно ночью и девушки пошли в единственный ещё открытый в их районе магазин.  Из мороженого там оставалось только несколько банок щербета.
Женя говорит:","Я хочу, чтобы ты купила мне пломбир.",viol_ind,A
52,5,wish,"Саша проиграла Жене в преферанс пачку мороженого. Дело было поздно ночью и девушки пошли в единственный ещё открытый в их районе магазин.  Из мороженого там оставалось только несколько банок щербета.
Женя говорит:","Я бы хотела, чтобы ты купила мне пломбир.",norm_subj,B
52,5,wish,"Саша проиграла Жене в преферанс пачку мороженого. Дело было поздно ночью и девушки пошли в единственный ещё открытый в их районе магазин. Из мороженого там оставался только пломбир и несколько банок щербета.
Женя говорит:","Я хочу, чтобы ты купила мне пломбир.",norm_ind,C
54,5,wish,"Саша проиграла Жене в преферанс пачку мороженого. Дело было поздно ночью и девушки пошли в единственный ещё открытый в их районе магазин. Из мороженого там оставался только пломбир и несколько банок щербета.
Женя говорит:","Я бы хотела, чтобы ты купила мне пломбир.",viol_subj,D
61,6,wish,"Галя проводит зимние каникулы на даче. Как-то вечером отец спросил Галю, какие у неё планы на завтра.
Галя ответила:",Я хочу весь день купаться в реке и валяться на солнце.,viol_ind,C
62,6,wish,"Галя проводит зимние каникулы на даче. Как-то вечером отец спросил Галю, какие у неё планы на завтра.
Галя ответила:",Я бы хотела весь день купаться в реке и валяться на солнце.,norm_subj,A
63,6,wish,"Галя проводит летние каникулы на даче. Как-то вечером отец спросил Галю, какие у неё планы на завтра.
Галя ответила:",Я хочу весь день купаться в реке и валяться на солнце.,norm_ind,D
64,6,wish,"Галя проводит летние каникулы на даче. Как-то вечером отец спросил Галю, какие у неё планы на завтра.
Галя ответила:",Я бы хотела весь день купаться в реке и валяться на солнце.,viol_subj,B
